Title,Company,Location,Date,URL
"Associate Producer, MPR News #152-19",Minnesota Public Radio,"St. Paul, Minnesota",1 Week Ago,https://careers.journalists.org/jobs/11602122/associate-producer-mpr-news-152-19
Strategic Partnerships Coordinator,Online News Association,"Washington, D.C.",6 Months Ago,https://careers.journalists.org/jobs/10906444/strategic-partnerships-coordinator
Chief Revenue Officer,The MarkUp,"New York, New York",Yesterday,https://careers.journalists.org/jobs/11621503/chief-revenue-officer
Podcast Producer,University of Chicago,"Chicago, Illinois",2 Months Ago,https://careers.journalists.org/jobs/11379207/podcast-producer
Digital Content Creator,Harvard University Graduate School of Education,USA - MA - Cambridge,Today,https://careers.journalists.org/jobs/11622536/digital-content-creator
Content and Social Media Manager,Stanford University,"Stanford, California",3 Months Ago,https://careers.journalists.org/jobs/11228284/content-and-social-media-manager
Writer and Media Specialist (7477U) Job 25438 - CoE/ College Relations,University of California Berkeley,"Berkeley, California",2 Months Ago,https://careers.journalists.org/jobs/11330139/writer-and-media-specialist-7477u-job-25438-coe-college-relations
Senior Product Designer,Dow Jones,"New York, New York",2 Weeks Ago,https://careers.journalists.org/jobs/11559444/senior-product-designer
Communications Associate,NABCA,"Alexandria, Virginia",4 Weeks Ago,https://careers.journalists.org/jobs/11522370/communications-associate
"Sr. Manager, Audience Engagement (15047)",American University,"Washington, D.C.",1 Month Ago,https://careers.journalists.org/jobs/11446728/sr-manager-audience-engagement-15047
College Connections Coordinator,University of Michigan - Ann Arbor,"Ann Arbor, Michigan",2 Days Ago,https://careers.journalists.org/jobs/11617041/college-connections-coordinator
Software Engineer,Confluence,"Pittsburgh, Pennsylvania",1 Week Ago,https://careers.journalists.org/jobs/11602685/software-engineer
"Tenure-Track Assistant Professor of Mass Communication - Journalism Program- commencing September 1, 2019",St. John's University,"Jamaica, New York",1 Month Ago,https://careers.journalists.org/jobs/11480672/tenure-track-assistant-professor-of-mass-communication-journalism-program-commencing-september-1-2019
Career Partnerships and Operations Coordinator,Mills College,"Oakland, California",2 Months Ago,https://careers.journalists.org/jobs/11362239/career-partnerships-and-operations-coordinator
Science & Technology Writer/ Editor,Lawrence Berkeley National Laboratory,"Berkeley, Nationwide, United States",1 Week Ago,https://careers.journalists.org/jobs/11599333/science-technology-writer-editor
Public Relations Account Executive,"Kahn Media, Inc.","Moorpark, California",3 Weeks Ago,https://careers.journalists.org/jobs/11532919/public-relations-account-executive
Digital Editor,The Salt Lake Tribune,"Salt Lake City, Utah",4 Days Ago,https://careers.journalists.org/jobs/11610492/digital-editor
"MULTI-PLATFORM EDITOR, WBUR Program & Production",Boston University,"BOSTON, Massachusetts",Yesterday,https://careers.journalists.org/jobs/11619075/multi-platform-editor-wbur-program-production
Marketing and Communications Coordinator,Association for Research in Vision and Ophthalmology,"Rockville, MD",3 Weeks Ago,https://careers.journalists.org/jobs/11551242/marketing-and-communications-coordinator
Breaking News/ Crime Reporter,PA Media Group,"Mechanicsburg, Pennsylvania",4 Weeks Ago,https://careers.journalists.org/jobs/11480151/breaking-news-crime-reporter
Public Relations Coordinator,The University of South Carolina,"Columbia, South Carolina",2 Months Ago,https://careers.journalists.org/jobs/11378015/public-relations-coordinator
"Design News Editor and Assistant Director, Communications",Harvard University Graduate School of Design,USA - MA - Cambridge,3 Months Ago,https://careers.journalists.org/jobs/11287573/design-news-editor-and-assistant-director-communications
"Reporter, Maryland (15017)",American University,"Washington, D.C.",1 Month Ago,https://careers.journalists.org/jobs/11417350/reporter-maryland-15017
